ba'a barna  mark
tul  tunlo  swallow
tum  tumla  land
tun  tunta  poke
tup  tuple  leg
tur  stura  structure
tut  tutra  territory
tuz  stuzi  site
va'i vamji  value
va'u vasxu  breathe
vab  vanbi  environment
vac  vanci  evening
vai  vajni  important
vaj  vajni  important
val  valsi  word
vam  vamji  value
van  vanju  wine
var  vacri  air
vas  vasru  contain
vat  vamtu  vomit
vau  vasru  contain
vax  vasxu  breathe
vaz  va     there at
ve'a verba  child
ve'e ve'e   whole space interva
ve'u vecnu  sell
vef  venfu  revenge
vei  vreji  record
vel  ve     4th conversion
ven  vecnu  sell
ver  verba  child
ves  vensa  spring
vi'a viska  see
vi'e vitke  guest
vi'i vikmi  excrete
vi'o vitno  permanent
vi'u vimcu  remove
vib  vibna  vagina
vic  vimcu  remove
vid  vindu  poison
vif  vifne  fresh
vij  vinji  airplane
vik  viknu  viscous
vil  vlile  violent
vim  vikmi  excrete
vin  jvinu  view
vip  vipsi  deputy
vir  vidru  virus
vis  viska  see
vit  vitci  irregular
viz  vi     here at
vla  valsi  word
vle  zivle  invest
vli  vlipa  powerful
vo'a voksa  voice
voi  vofli  flight
vok  voksa  voice
vol  vofli  flight
von  vo     4
vor  vorme  door
vra  vraga  lever
vre  vreta  reclining
vri  virnu  brave
vro  vorme  door
vru  savru  noise
vu'e vrude  virtue
vu'i vrusi  taste
vu'o vukro  Ukrainian
vud  vrude  virtue
vur  vukro  Ukrainian
vus  vrusi  taste
vuz  vu     yonder at
xa'a xatra  letter
xa'e xance  hand
xa'i xarci  weapon
xa'o xampo  ampere
xa'u xabju  dwell
xab  xadba  half
xac  xarci  weapon
xad  xadni  body
xag  xamgu  good
xai  xrani  injure
xaj  xarju  pig
xak  xaksu  use up
xal  xalka  alcohol
xam  xajmi  funny
xan  xance  hand
xap  xampo  ampere
xar  xanri  imaginary
xas  xamsi  sea
xat  xatsi  1E-18
xau  xamgu  good
xav  xa     6
xaz  xazdo  Asiatic
xe'a xedja  jaw
xe'i xekri  black
xe'o xendo  kind
xe'u xenru  regret
xeb  xebro  Hebrew
xed  xendo  kind
xei  xebni  hate
xej  xedja  jaw
xek  xekri  black
xel  xe     5th conversion
xen  xebni  hate
xer  xenru  regret
xes  xelso  Greek
xet  xecto  100
xex  xexso  1E18
xi'a xirma  horse
xi'o xriso  Christian
xi'u xislu  wheel
xil  xislu  wheel
xim  xinmo  ink
xin  xindo  Hindi
xip  xispo  Hispanic
xir  xirma  horse
xis  xriso  Christian
xla  xlali  bad
xle  naxle  canal
xli  nixli  girl
xlu  xlura  influence
xoi  xotli  hotel
xol  xotli  hotel
xra  pixra  picture
xre  mixre  mixture
xri  maxri  wheat
xru  xruti  return
xu'a xusra  assert
xu'e xunre  red
xu'i xukmi  chemical
xu'o xurdo  Urdu
xub  xruba  buckwheat
xuk  xruki  turkey
xul  xutla  smooth
xum  xukmi  chemical
xun  xunre  red
xur  xurdo  Urdu
xus  xusra  assert
za'a zabna  favorable
za'i zasti  exist
za'o za'o   superfective
za'u zargu  buttock
zac  zarci  market
zag  zargu  buttock
zai  zarci  market
zaj  zajba  gymnast
zal  zalvi  grind
zan  zabna  favorable
zar  zanru  approve
zas  zasni  temporary
zat  zasti  exist
zau  zanru  approve
zaz  za'i   state abstract
zba  zbasu  make
zbe  zbepi  pedestal
zbi  nazbi  nose
zda  zdani  nest
zdi  zdile  amusing
zdo  xazdo  Asiatic
ze'a zenba  increase
ze'e ze'e   whole time interval
ze'o ze'o   outward
zei  zekri  crime
zel  ze     7
zen  zenba  increase
zep  zepti  1E-21
zer  zekri  crime
zet  zetro  1E21
zev  ze'o   outward
zga  zgana  observe
zgi  zgike  music
zgu  rozgu  rose
zi'e zifre  free
zi'i zinki  zinc
zi'o dzipo  Antarctican
zi'u zirpu  purple
zif  zifre  free
zin  zinki  zinc
zip  dzipo  Antarctican
zir  zirpu  purple
ziv  zivle  invest
zma  zmadu  more
zme  guzme  melon
zmi  zmiku  automatic
zmu  zumri  maize
zo'a zo'a   tangential to
zo'i zo'i   inward
zon  zo'a   tangential to
zor  zo'i   inward
zu'e zukte  act
zu'i zunti  interfere
zug  zungi  guilt
zuk  zukte  act
zul  zunle  left
zum  zu'o   activity abstract
zun  zunti  interfere
zut  zutse  sit
zva  zvati  at
